datetime,temp,feelslike,humidity,dew,precip,precipprob,windspeed,visibility,windcover,foglikelihood (%),harvest_liters
2024-12-08:07:00:00,28.0,31.8,78.91,24.0,0.0,0.0,7.6,10.0,25.0,7.08,0.0
2024-12-08:08:00:00,30.0,35.0,70.28,24.0,0.0,0.0,1.8,10.0,50.0,7.08,0.0
2024-12-08:09:00:00,30.0,35.0,70.28,24.0,0.0,0.0,9.4,10.0,50.0,7.08,0.0
2024-12-08:10:00:00,31.0,36.4,66.37,24.0,0.1,100.0,7.6,10.0,88.0,7.08,4.0
2024-12-08:11:00:00,31.0,37.6,70.47,25.0,0.0,0.0,7.6,10.0,88.0,7.08,0.0
2024-12-08:12:00:00,31.0,37.6,70.47,25.0,0.1,100.0,7.6,10.0,88.0,7.08,4.0
2024-12-08:13:00:00,31.0,36.4,66.37,24.0,0.2,100.0,11.2,10.0,100.0,7.08,8.0
2024-12-08:14:00:00,31.0,36.4,66.37,24.0,0.0,0.0,11.2,10.0,100.0,7.08,0.0
2024-12-08:15:00:00,30.0,37.3,79.19,26.0,0.0,0.0,5.4,10.0,88.0,7.08,0.0
2024-12-08:16:00:00,30.0,37.3,79.19,26.0,0.0,0.0,5.4,10.0,88.0,7.08,0.0
2024-12-08:17:00:00,29.0,34.4,79.05,25.0,0.0,0.0,11.2,10.0,100.0,7.08,0.0
2024-12-08:18:00:00,28.0,33.4,88.91,26.0,0.0,0.0,11.2,9.0,100.0,7.08,0.0
2024-12-08:19:00:00,28.0,33.4,88.91,26.0,0.1,100.0,3.6,10.0,88.0,7.08,4.0
2024-12-08:20:00:00,27.0,31.0,94.27,26.0,0.1,100.0,5.4,9.0,100.0,52.44,4.0
2024-12-08:21:00:00,27.0,31.0,94.27,26.0,0.0,0.0,3.6,10.0,88.0,52.44,0.0
2024-12-08:22:00:00,27.0,31.0,94.27,26.0,0.1,100.0,1.8,10.0,88.0,52.44,4.0
2024-12-08:23:00:00,28.0,31.0,72.96,22.7,0.0,9.7,18.0,24.1,83.3,7.08,0.0
